disease,compound_groundTruth,disease_groundTruth,text,llm_answer,context_volume
cancer,"['Atomoxetine', 'Doxorubicin', 'CETUXIMAB', 'Metoclopramide', 'Acetaminophen', 'TRASTUZUMAB', 'Bosutinib', 'Plerixafor', 'Tretinoin', 'OPORTUZUMAB MONATOX', 'Sunitinib', 'Methoxyflurane', 'Mitoguazone', 'Iniparib', 'Teniposide', 'Temsirolimus', '21H,23H-Porphine-7-propanoic acid, 13-acetyl-18-ethyl-7,8,17,18-tetrahydro-5-(2-methoxy-2-oxoethyl)-2,8,12,17-tetramethyl-3-[[(2-sulfoethyl)amino]carbonyl]-, (7S,8S,17R,18R)-', 'NIVOLUMAB', 'Melphalan', 'Pamiparib', 'AVELUMAB', 'DENILEUKIN DIFTITOX', 'Vinorelbine', 'INTERFERON ALFA-2B', 'Capmatinib', 'Vorinostat', 'Diethylstilbestrol', 'Dexamethasone', 'Lomustine', 'Melphalan flufenamide', 'Pralsetinib', 'Entrectinib', 'ASPARAGINASE', 'Gilteritinib', 'Tegafur', '(2S)-2-[[4-[(2-amino-4-oxo-8H-pteridin-6-yl)methylamino]benzoyl]amino]-5-[[(2S)-1-[[(2S)-5-carbamimidamido-1-[[(2S)-3-carboxy-1-[[(2S)-3-carboxy-1-[[(1R)-1-carboxy-2-[2-[[[(1R,9R,10S,11R,12R,19R)-12-ethyl-4-[(13S,15R,17S)-17-ethyl-17-hydroxy-13-methoxycarbonyl-1,11-diazatetracyclo[13.3.1.04,12.05,10]nonadeca-4(12),5,7,9-tetraen-13-yl]-10,11-dihydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10-carbonyl]amino]carbamoyloxy]ethyldisulfanyl]ethyl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopentan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-5-oxopentanoic acid', 'Gemcitabine', 'azane;dichloroplatinum', 'Clonidine', 'Aprepitant', 'Mitobronitol', 'Fulvestrant', 'Nilutamide', '2-[(Dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexanol', 'Imatinib', 'BERMEKIMAB', 'OLARATUMAB', 'MOLGRAMOSTIM', 'BCG VACCINE', 'Darolutamide', 'TRASTUZUMAB EMTANSINE', 'Selpercatinib', 'Bupivacaine', 'Palonosetron', 'Abemaciclib', 'Ribociclib', 'Raltitrexed', 'PEGASPARGASE', 'Everolimus', 'INOTUZUMAB OZOGAMICIN', 'Anagrelide', 'Regorafenib', 'Osimertinib', 'Ivabradine', 'Temozolomide', 'Daunorubicin', 'Bleomycin a2', 'Interferon gamma-1b', 'Leuprorelin', 'Gefitinib', 'Testosterone', 'Glutamine', 'Enalapril', 'Chlorambucil', 'Glasdegib', 'Escitalopram', 'Cobimetinib', 'Streptozotocin', 'Sevoflurane', 'Fluorouracil', 'Relugolix', '1,1-Cyclobutanedicarboxylic acid', 'Floxuridine', 'Hydrocortisone probutate', 'Oxycodone', 'Trabectedin', 'Technetium Tc-99M sulfur colloid', 'Dexamethasone phosphate', 'Testosterone undecanoate', 'Plitidepsin', 'Venetoclax', 'TISAGENLECLEUCEL', 'PANITUMUMAB', 'DOSTARLIMAB', 'Cytarabine', 'Fentanyl citrate', 'Binimetinib', 'Olaparib', 'Cabozantinib', 'Alitretinoin', 'Remifentanil', 'Fotemustine', 'Celecoxib', 'Vinflunine', 'MOXETUMOMAB PASUDOTOX', 'ISATUXIMAB', 'PEMBROLIZUMAB', 'Dolasetron', 'OFATUMUMAB', 'Melatonin', 'Ethinyl estradiol', 'Avapritinib', 'Fenretinide', 'Pacritinib', 'Cyclophosphamide', 'Eltrombopag', 'Thymopentin', 'Thiotepa', 'Abarelix', 'Rociletinib', 'Fludarabine phosphate', 'Ifosfamide', 'Etoposide phosphate', 'Ripretinib', 'Mifamurtide hydrate', 'Busulfan', 'Cefazolin', 'Amrubicin', 'Ramosetron', 'Pipobroman', 'BELANTAMAB MAFODOTIN', 'AFLIBERCEPT', ""3,3'-[8-Ethyl-13-(1-hydroxyethyl)-3,7,12,17-tetramethylporphyrin-2,18-diyl]dipropanoic acid"", 'Olanzapine', 'Fedratinib', 'Degarelix', 'Enasidenib', 'Triptorelin', 'Tucatinib', 'Abiraterone acetate', 'Enzalutamide', 'Ceritinib', 'Efaproxiral', 'Ixabepilone', 'RAMUCIRUMAB', 'Pexidartinib', '2,4,6,8,9,10-Hexaoxa-1,3,5,7-tetraarsatricyclo[3.3.1.13,7]decane', 'Dabrafenib', 'Anlotinib', '(2S,3S)-2-[(2S,4R,5R,6R)-4-[(2R,4R,5R,6R)-5-[(2R,4S,5R,6R)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-5-hydroxy-6-methyloxan-2-yl]oxy-3-[(1S,3S,4R)-3,4-dihydroxy-1-methoxy-2-oxopentyl]-6-[(2S,4R,5R,6R)-4-[(2R,4R,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-5-hydroxy-6-methyloxan-2-yl]oxy-8,9-dihydroxy-7-methyl-3,4-dihydro-2H-anthracen-1-one', 'Methotrexate', 'PEGFILGRASTIM', 'Cesamet', 'ZINC hydrate', 'OPRELVEKIN', 'Vandetanib', 'DARATUMUMAB', 'INTERFERON ALFA', 'Decitabine', 'Tepotinib', 'mitomycin C', 'Cediranib', 'RITUXIMAB', 'Selinexor', 'RETIFANLIMAB', 'CEMIPLIMAB', 'Lenvatinib', 'BLINATUMOMAB', 'Octreotide', 'Azacitidine', 'TAFASITAMAB', 'Donepezil', 'Etoposide', 'ELOTUZUMAB', 'Propofol', 'Methadone', 'ALDESLEUKIN', 'TREMELIMUMAB', 'Entinostat', 'Clofarabine', 'TISLELIZUMAB', 'Pazopanib', 'EDRECOLOMAB', 'Adenosine', 'Pixantrone', 'Naloxone', 'Alectinib', 'Valrubicin', 'OBINUTUZUMAB', 'Dacomitinib', 'PERTUZUMAB', 'Bexarotene', 'IPILIMUMAB', 'Amsacrine', 'Zanubrutinib', 'PALIFERMIN', 'EFLAPEGRASTIM', 'Fentanyl', 'Tamoxifen', 'Pentostatin', 'NECITUMUMAB', 'Valacyclovir', 'TRASTUZUMAB DUOCARMAZINE', 'Rivaroxaban', 'INTERFERON ALFACON-1', 'Methyl aminolevulinate', 'POLYESTRADIOL PHOSPHATE', 'Nintedanib', 'GEMTUZUMAB OZOGAMICIN', 'Mthpc', 'Aminolevulinic acid', 'Ixazomib', 'Letrozole', 'Tapentadol', 'Fosaprepitant', 'TALIMOGENE LAHERPAREPVEC', 'Pirarubicin', 'Megestrol acetate', 'ROPEGINTERFERON ALFA-2B', 'BRENTUXIMAB VEDOTIN', 'Estramustine phosphate', 'Asciminib', 'Larotrectinib', 'TAGRAXOFUSP', 'DINUTUXIMAB', 'Goserelin', 'Omacetaxine mepesuccinate', 'Capecitabine', 'Paclitaxel', 'Lorlatinib', 'Anastrozole', 'Ridaforolimus', 'Treosulfan', 'Vismodegib', 'Vemurafenib', 'PEGINTERFERON ALFA-2A', 'EPOETIN BETA', 'Vinblastine', 'Masitinib', 'Apalutamide', 'Hydroxyurea', 'Fluconazole', 'Ketamine', 'Sorafenib', 'Interferon alfa-2a', 'Fosfestrol', 'Crizotinib', 'Itraconazolum [Latin]', 'Idarubicin', 'INTERFERON BETA-1A', 'TRASTUZUMAB DERUXTECAN', 'Altretamine', 'Trofosfamide', 'Tazemetostat', 'Formestane', 'Epacadostat', 'Futibatinib', 'Docetaxel', 'Abiraterone', 'ETHIODIZED OIL', 'Belinostat', 'AXICABTAGENE CILOLEUCEL', 'Ruxolitinib', 'Cabazitaxel', 'Masoprocol', 'Epirubicin', 'POLATUZUMAB VEDOTIN', 'Histamine', 'Lanreotide acetate', 'Nilotinib', 'DURVALUMAB', 'Romidepsin', 'ONARTUZUMAB', 'Histrelin', '(2R,3R,4S)-2-[(2R,3S,4R,5R,6S)-5-acetamido-6-[(1R,2R,3R,4R)-4-[(2R,3S,4R,5R,6R)-5-acetamido-6-[(4R,5R,6R)-2-carboxy-4,5-dihydroxy-6-[[(1R,3R,4R,5R)-3-hydroxy-4-(sulfoamino)-6,8-dioxabicyclo[3.2.1]octan-2-yl]oxy]oxan-3-yl]oxy-2-(hydroxymethyl)-4-methyloxan-3-yl]oxy-6-carboxy-2,3-dihydroxycyclohexyl]oxy-4-hydroxy-2-(sulfooxymethyl)oxan-3-yl]oxy-3,4-dihydroxy-3,4-dihydro-2H-pyran-6-carboxylic acid', 'CEPEGINTERFERON ALFA-2B', 'Duvelisib', 'Dehydroepiandrosterone', 'Hydromorphone', 'Amphotericin B', 'PEGINTERFERON ALFA-2B', 'o6-Benzylguanine', 'Tranexamic acid', 'Ponatinib', 'Thioguanine', 'ENFORTUMAB VEDOTIN', 'Pemigatinib', 'Nelarabine', 'Desacetylvinblastine amide', 'Bortezomib', 'Topotecan', 'Vincristine', 'Caspofungin', 'SARGRAMOSTIM', 'Ibrutinib', 'Sotorasib', 'Dexmedetomidine', 'Afatinib', 'Flutamide', 'Oxandrolone', 'Medroxyprogesterone acetate', 'Guanine', 'Apixaban', 'Ixazomib citrate', 'Lonidamine', 'Midostaurin', 'Bicalutamide', 'Mitoxantrone', 'LENOGRASTIM', 'Dronabinol', 'Pralatrexate', 'Trametinib', 'Dactinomycin', 'Trifluridine', 'Procarbazine', 'Fluoxymesterone', 'Acyclovir', 'Semustine', 'Quizartinib', 'Mechlorethamine', 'Ondansetron', 'Carfilzomib', 'Dacarbazine', 'INTERFERON BETA', 'Morphine', 'Cladribine', 'BEVACIZUMAB', 'Carmustine', 'Levobupivacaine', 'PEGINTERFERON BETA-1A', 'Aminoglutethimide', 'Erlotinib', 'Toremifene', 'ATEZOLIZUMAB', 'Belzutifan', 'Niraparib', 'Mercaptopurine', 'Sonidegib', 'Buserelin', 'Prednicarbate', 'Uracil mustard', 'Brigatinib', 'Voreloxin', 'Axitinib', 'AMIVANTAMAB', 'MOGAMULIZUMAB', 'Belotecan', 'DARBEPOETIN ALFA', 'Mycophenolate mofetil', 'Varenicline', 'Acalabrutinib', 'Encorafenib', 'Ranimustine', 'Exemestane', 'CATUMAXOMAB', 'Cyproheptadine', 'Testosterone cypionate', 'Idelalisib', 'Granisetronum', 'Tivozanib', 'Eribulin', 'Selumetinib', 'Icotinib', '3-Imino-3H-phenothiazin-7-amine', 'Veliparib', 'Estramustine', 'ALBINTERFERON ALFA-2B', 'Ivosidenib', 'Infigratinib', 'Alpelisib', 'Etoglucid', 'Lurbinectedin', 'Triphosphoric acid', 'Arginine', 'Dasatinib', 'Thalidomide', 'FILGRASTIM', 'Erdafitinib', 'SIPULEUCEL-T', 'Interferon beta-1b', 'Mitotane', 'TASONERMIN', 'Panobinostat']","['cardiovascular system disease', 'diabetes mellitus']",What compounds treat 'cancer' and what diseases resemble 'cancer'?,"{""Compounds"":[""Aprepitant"", ""Quizartinib"", ""Alpelisib"", ""Lenvatinib"", ""Ivosidenib"", ""Formestane"", ""Capmatinib"", ""Exemestane"", ""Ceritinib"", ""Flutamide"", ""Duvelisib"", ""Sunitinib"", ""Cediranib"", ""EDRECOLOMAB"", ""Iniparib"", ""Entrectinib"", ""Ripretinib"", ""Diethylstilbestrol"", ""Mitotane"", ""CETUXIMAB"", ""1,1-Cyclobutanedicarboxylic acid"", ""Acetaminophen"", ""Veliparib"", ""Pamiparib"", ""Carmustine"", ""Dronabinol"", ""Enzalutamide"", ""Fluorouracil"", ""Treosulfan"", ""Chlorambucil"", ""Tepotinib"", ""Floxuridine"", ""Carfilzomib"", ""Hydromorphone"", ""Lonidamine"", ""Melatonin"", ""Atomoxetine"", ""Morphine"", ""Asciminib"", ""Cobimetinib"", ""Ribociclib"", ""Itraconazolum [Latin]"", ""Plerixafor"", ""Fentanyl"", ""Sorafenib"", ""Letrozole"", ""LENOGRASTIM"", ""Mechlorethamine"", ""Celecoxib"", ""Oxandrolone"", ""Lomustine"", ""Fluoxymesterone"", ""o6-Benzylguanine"", ""AFLIBERCEPT"", ""Enasidenib"", ""Busulfan"", ""Encorafenib"", ""Masoprocol"", ""PALIFERMIN"", ""Teniposide"", ""Methoxyflurane"", ""Anlotinib"", ""DURVALUMAB"", ""Ridaforolimus"", ""Axitinib"", ""Anagrelide"", ""RITUXIMAB"", ""Donepezil"", ""Thiotepa"", ""Melphalan"", ""Brigatinib"", ""Hydroxyurea"", ""Plitidepsin"", ""Nilotinib"", ""Ramosetron"", ""AXICABTAGENE CILOLEUCEL"", ""Tucatinib"", ""Dasatinib"", ""Darolutamide"", ""Ondansetron"", ""Nelarabine"", ""Altretamine"", ""Lorlatinib"", ""Efaproxiral"", ""Nintedanib"", ""Crizotinib"", ""Vincristine"", ""Pirarubicin"", ""DARATUMUMAB"", ""Epirubicin"", ""azane;dichloroplatinum"", ""Fedratinib"", ""Cefazolin"", ""Icotinib"", ""Ponatinib"", ""Apixaban"", ""ALDESLEUKIN"", ""Ketamine"", ""Thioguanine"", ""Histamine""], ""Diseases"":[]}",100
cardiomyopathy,"['Azathioprine', 'BNP-32 (human)', 'Eplerenone', 'Amiodarone', 'Dexrazoxane', 'Prednisone', 'Enalapril']",['amyloidosis'],What compounds treat 'cardiomyopathy' and what diseases resemble 'cardiomyopathy'?,"{""Compounds"":[""Dexrazoxane"", ""Azathioprine"", ""Eplerenone"", ""Amiodarone"", ""Enalapril"", ""Tafamidis"", ""BNP-32 (human)"", ""Tafamidis meglumine"", ""Prednisone""], ""Diseases"":[""amyloidosis""]}",100
carpal tunnel syndrome,"['Gabapentin', 'Lidocaine', 'Betamethasone']","['polyneuropathy', 'median neuropathy', 'thoracic outlet syndrome', 'peripheral nervous system neoplasm', 'critical illness polyneuropathy', 'tarsal tunnel syndrome', 'epicondylitis', 'tendinitis', 'complex regional pain syndrome', 'nerve compression syndrome', 'radiculopathy', 'mucopolysaccharidosis II', 'mucopolysaccharidosis', 'pyridoxine deficiency anemia', 'ulnar neuropathy', 'chondrocalcinosis', 'glycoproteinosis', 'reflex sympathetic dystrophy', 'tenosynovitis', 'mucopolysaccharidosis I', 'De Quervain disease', 'motor peripheral neuropathy', 'Raynaud disease', 'mucopolysaccharidosis Ih/s', 'radial neuropathy', 'gout', 'mucopolysaccharidosis Ih']",What compounds treat 'carpal tunnel syndrome' and what diseases resemble 'carpal tunnel syndrome'?,"{""Compounds"":[""Lidocaine"", ""Gabapentin"", ""Betamethasone""], ""Diseases"":[""complex regional pain syndrome"", ""tendinitis"", ""radial neuropathy"", ""polyneuropathy"", ""tarsal tunnel syndrome"", ""De Quervain disease"", ""motor peripheral neuropathy"", ""epicondylitis"", ""ulnar neuropathy"", ""radiculopathy"", ""critical illness polyneuropathy"", ""median neuropathy"", ""tenosynovitis"", ""nerve compression syndrome"", ""reflex sympathetic dystrophy"", ""pyridoxine deficiency anemia"", ""glycoproteinosis""]}",100
central nervous system cancer,"['Carmustine', ""3,3'-[8-Ethyl-13-(1-hydroxyethyl)-3,7,12,17-tetramethylporphyrin-2,18-diyl]dipropanoic acid"", 'Methotrexate', 'Etoposide', 'Mitolactol', 'Isotretinoin', 'azane;dichloroplatinum', '1,1-Cyclobutanedicarboxylic acid', 'Temozolomide', 'Cyclophosphamide', 'Thiotepa', 'Procarbazine', 'Ifosfamide', 'Etoposide phosphate', 'Leflunomide', 'FILGRASTIM', 'Vincristine', 'Lomustine', 'Prednisone']","['cerebral primitive neuroectodermal tumor', 'intraocular lymphoma', 'cerebellum cancer', 'medulloepithelioma', 'benign ependymoma', 'myeloid sarcoma', 'embryonal cancer', 'cellular ependymoma', 'juvenile pilocytic astrocytoma', 'germ cell and embryonal cancer', 'pilocytic astrocytoma', 'hemangiopericytoma', 'medullomyoblastoma', 'protoplasmic astrocytoma', 'peripheral nervous system neoplasm', 'acute promyelocytic leukemia', 'childhood medulloblastoma', 'gliosarcoma', 'oligodendroglioma', 'malignant astrocytoma', 'hemangioblastoma', 'melanotic medulloblastoma', 'papillary ependymoma', 'childhood oligodendroglioma', 'gemistocytic astrocytoma', 'von Hippel-Lindau disease', 'neurofibromatosis 2', 'adult medulloblastoma', 'mixed oligodendroglioma-astrocytoma', 'retinal cancer', 'gliomatosis cerebri', 'anaplastic astrocytoma', 'astroblastoma', 'infratentorial cancer', 'mantle cell lymphoma', 'ganglioglioma', 'central neurocytoma', 'histiocytic sarcoma', 'spinal cancer', 'subependymal giant cell astrocytoma', 'fibrillary astrocytoma', 'childhood cerebral astrocytoma', 'neurofibromatosis', 'adult oligodendroglioma', 'embryonal tumor with multilayered rosettes, C19MC-altered', 'rhabdoid cancer', 'Burkitt lymphoma', 'myxopapillary ependymoma', 'neuroectodermal tumor', 'germinoma', 'germ cell cancer', 'medulloblastoma']",What compounds treat 'central nervous system cancer' and what diseases resemble 'central nervous system cancer'?,"{""Compounds"": [""1,1-Cyclobutanedicarboxylic acid"", ""Carmustine"", ""Lomustine"", ""azane;dichloroplatinum"", ""Mitolactol"", ""Cyclophosphamide"", ""Thiotepa"", ""Temozolomide"", ""Procarbazine"", ""Leflunomide"", ""Vincristine"", ""FILGRASTIM"", ""Etoposide"", ""Prednisone"", ""3,3'-[8-Ethyl-13-(1-hydroxyethyl)-3,7,12,17-tetramethylporphyrin-2,18-diyl]dipropanoic acid"", ""Methotrexate"", ""Etoposide phosphate"", ""Ifosfamide"", ""Isotretinoin""], ""Diseases"": [""infratentorial cancer"", ""embryonal cancer"", ""spinal cancer"", ""gliomatosis cerebri"", ""childhood cerebral astrocytoma"", ""cerebral primitive neuroectodermal tumor"", ""fibrillary astrocytoma"", ""astroblastoma"", ""neurofibromatosis"", ""protoplasmic astrocytoma"", ""gemistocytic astrocytoma"", ""cerebellum cancer"", ""pilocytic astrocytoma"", ""subependymal giant cell astrocytoma"", ""myeloid sarcoma"", ""ganglioglioma"", ""medulloepithelioma"", ""Burkitt lymphoma"", ""retinal cancer"", ""rhabdoid cancer"", ""melanotic medulloblastoma"", ""juvenile pilocytic astrocytoma"", ""mixed oligodendroglioma-astrocytoma"", ""childhood medulloblastoma"", ""medullomyoblastoma"", ""cellular ependymoma"", ""hemangioblastoma""] }",100
cerebellar ataxia,['Rovatirelin'],"['spontaneous ocular nystagmus', 'mitochondrial metabolism disease', 'hypogonadism', 'thalamic disease', 'ophthalmoplegia', 'dissociated nystagmus', 'primary cerebellar degeneration', 'retinal degeneration', 'partial third-nerve palsy', 'chickenpox', 'ganglioneuroma', 'olivopontocerebellar atrophy', ""Brown's tendon sheath syndrome"", 'ocular motility disease', 'hereditary spastic paraplegia', 'early myoclonic encephalopathy', 'pathologic nystagmus', 'cerebellar disease', 'cerebrotendinous xanthomatosis', 'Machado-Joseph disease', 'congenital disorder of glycosylation', 'progressive supranuclear palsy', 'myoclonic cerebellar dyssynergia', 'ataxia telangiectasia', 'Creutzfeldt-Jakob disease', 'limbic encephalitis', 'siderosis', 'aniridia', 'total third-nerve palsy', 'oculomotor nerve paralysis', 'dystonia', 'Cogan syndrome', 'autosomal dominant cerebellar ataxia', 'optic atrophy', 'mitochondrial encephalomyopathy', 'gangliocytoma', 'cerebral amyloid angiopathy', 'Gerstmann-Straussler-Scheinker syndrome', 'muscular atrophy', 'mutism', 'multiple system atrophy', 'Alexander disease', 'Friedreich ataxia', 'autoimmune disease of the nervous system', 'generalized dystonia', 'hereditary sensory and autonomic neuropathy type 2', 'apraxia', 'pyruvate decarboxylase deficiency', 'hemiplegia', 'retinitis pigmentosa', 'spinocerebellar ataxia type 4', 'Charcot-Marie-Tooth disease', 'internuclear ophthalmoplegia', 'multiple carboxylase deficiency', 'vestibular disease', 'fragile X syndrome', 'myxedema', 'infectious mononucleosis', 'migraine with aura', 'vestibular neuronitis', 'Stiff-Person syndrome', 'hereditary sensory and autonomic neuropathy type 5', 'basal ganglia disease']",What compounds treat 'cerebellar ataxia' and what diseases resemble 'cerebellar ataxia'?,"{""Compounds"":[""Rovatirelin""], ""Diseases"":[""Cayman type cerebellar ataxia"", ""Friedreich ataxia"", ""primary cerebellar degeneration"", ""ataxia telangiectasia"", ""spinocerebellar ataxia type 4"", ""Charcot-Marie-Tooth disease"", ""autosomal dominant cerebellar ataxia"", ""multiple carboxylase deficiency"", ""dystonia"", ""aniridia"", ""siderosis"", ""myoclonic cerebellar dyssynergia"", ""generalized dystonia"", ""apraxia"", ""mitochondrial encephalomyopathy"", ""mitochondrial metabolism disease"", ""limbic encephalitis"", ""oculomotor nerve paralysis"", ""olivopontocerebellar atrophy"", ""multiple system atrophy"", ""cerebral amyloid angiopathy"", ""Stiff-Person syndrome"", ""basal ganglia disease"", ""Machado-Joseph disease"", ""thalamic disease"", ""hemiplegia"", ""Cogan syndrome"", ""ophthalmoplegia"", ""chickenpox"", ""internuclear ophthalmoplegia"", ""Creutzfeldt-Jakob disease"", ""pyruvate decarboxylase deficiency"", ""cerebrotendinous xanthomatosis"", ""gangliocytoma"", ""hereditary sensory and autonomic neuropathy type 2"", ""vestibular neuronitis"", ""retinal degeneration"", ""retinitis pigmentosa"", ""vestibular disease"", ""hereditary sensory and autonomic neuropathy type 5""]}",100
childhood absence epilepsy,"['Lamotrigine', 'Valproic Acid', 'Ethosuximide']","['dentatorubral-pallidoluysian atrophy', 'West syndrome', 'status epilepticus', 'juvenile myoclonic epilepsy', 'epilepsy with generalized tonic-clonic seizures', 'focal epilepsy', 'early myoclonic encephalopathy', 'complex partial epilepsy', 'carbohydrate metabolic disorder', 'progressive myoclonus epilepsy 4', 'idiopathic generalized epilepsy', 'reflex epilepsy', 'benign epilepsy with centrotemporal spikes', 'progressive myoclonus epilepsy', 'frontal lobe epilepsy']",What compounds treat 'childhood absence epilepsy' and what diseases resemble 'childhood absence epilepsy'?,"{""Compounds"":[""Lamotrigine"", ""Valproic Acid"", ""Ethosuximide""], ""Diseases"":[""idiopathic generalized epilepsy"", ""focal epilepsy"", ""carbohydrate metabolic disorder"", ""reflex epilepsy"", ""juvenile myoclonic epilepsy"", ""frontal lobe epilepsy"", ""epilepsy with generalized tonic-clonic seizures"", ""complex partial epilepsy"", ""progressive myoclonus epilepsy"", ""status epilepticus"", ""early myoclonic encephalopathy""]}",100
choroideremia,['TIMREPIGENE EMPARVOVEC'],"['retinoschisis', 'red color blindness', 'gyrate atrophy', 'achromatopsia', 'scotoma', 'red-green color blindness', 'acquired color blindness', 'retinal degeneration', 'night blindness', 'color blindness', 'Leber congenital amaurosis', 'blue color blindness', 'retinal perforation', 'macular holes', 'retinitis pigmentosa', 'fundus dystrophy']",What compounds treat 'choroideremia' and what diseases resemble 'choroideremia'?,"{""Compounds"":[""TIMREPIGENE EMPARVOVEC""], ""Diseases"":[""gyrate atrophy"", ""retinoschisis""]}",100
collagen disease,['Captopril'],"['dermatomyositis', 'Ehlers-Danlos syndrome', 'osteochondrodysplasia', 'multiple epiphyseal dysplasia', 'Wissler-Fanconi syndrome', 'newborn respiratory distress syndrome', 'blood protein disease', 'agammaglobulinemia', 'diffuse scleroderma', 'granulomatosis with polyangiitis', 'leukocyte disease', 'rheumatic fever', 'telangiectasis', 'skin disease', 'connective tissue disease', 'polyarteritis nodosa', 'mixed connective tissue disease', 'purpura', 'localized scleroderma', 'Melnick-Needles syndrome', 'scleroderma', 'Raynaud disease', 'vascular skin disease', 'childhood type dermatomyositis', 'hypersensitivity reaction type III disease', 'aleutian mink disease', 'nephritis', 'myositis', 'scleral disease']",What compounds treat 'collagen disease' and what diseases resemble 'collagen disease'?,"{""Compounds"":[""Captopril""], ""Diseases"":[""leukocyte disease"", ""vascular skin disease"", ""connective tissue disease"", ""polyarteritis nodosa"", ""skin disease"", ""mixed connective tissue disease"", ""disseminated eosinophilic collagen disease""]}",100
congenital afibrinogenemia,"['FIBRINOGEN, HUMAN']","['blood platelet disease', 'purpura', 'hemorrhagic disease', ""von Willebrand's disease"", 'placenta praevia', 'purpura fulminans', 'syndrome', 'protein C deficiency', 'factor VII deficiency', 'disseminated intravascular coagulation', 'factor XIII deficiency', 'Shwartzman phenomenon', 'factor V deficiency']",What compounds treat 'congenital afibrinogenemia' and what diseases resemble 'congenital afibrinogenemia'?,"{""Compounds"":[""FIBRINOGEN, HUMAN""], ""Diseases"":[""syndrome"", ""Shwartzman phenomenon"", ""purpura"", ""protein C deficiency""]}",100
cystinosis,"['DL-Tartaric acid', 'Cysteamine']","['distal myopathy', 'glycoproteinosis', 'tibial muscular dystrophy', 'nephrogenic diabetes insipidus', 'renal osteodystrophy', 'Fanconi syndrome', 'amino acid metabolic disorder', 'Bartter disease', 'Wilson disease', 'rickets', 'renal tubular acidosis', 'cystinuria']",What compounds treat 'cystinosis' and what diseases resemble 'cystinosis'?,"{""Compounds"":[""Cysteamine"", ""DL-Tartaric acid""], ""Diseases"":[""cystinuria"", ""renal osteodystrophy"", ""amino acid metabolic disorder"", ""distal myopathy"", ""Bartter disease"", ""glycoproteinosis"", ""Wilson disease"", ""renal tubular acidosis"", ""nephrogenic diabetes insipidus""]}",100
cystinuria,['Penicillamine'],"['Hartnup disease', 'gyrate atrophy', 'Dent disease', 'Fanconi syndrome', 'alkaptonuria', 'renal tubular transport disease', 'inherited metabolic disorder', 'amino acid metabolic disorder', 'bladder calculus', 'urolithiasis', 'rickets', 'renal tubular acidosis', 'maple syrup urine disease', 'primary hyperoxaluria', 'phenylketonuria', 'homocystinuria', 'cystinosis']",What compounds treat 'cystinuria' and what diseases resemble 'cystinuria'?,"{""Compounds"":[""Penicillamine""], ""Diseases"":[""cystinosis"", ""maple syrup urine disease"", ""urolithiasis"", ""homocystinuria"", ""phenylketonuria"", ""alkaptonuria"", ""bladder calculus"", ""primary hyperoxaluria""]}",100
disorder of sexual development,['Testosterone'],"['WAGR syndrome', 'embryonal cancer', 'familial male-limited precocious puberty', 'adrenal gland disease', 'germ cell and embryonal cancer', 'central precocious puberty', 'osteochondrodysplasia', 'multiple epiphyseal dysplasia', '46,XY sex reversal', 'seminoma', '46 XX gonadal dysgenesis', 'nephroblastoma', 'gonadoblastoma', 'gonadal dysgenesis', 'freemartinism', 'gynecomastia', 'testis seminoma', 'campomelic dysplasia', 'endocrine system disease', 'adrenal cortex disease', 'androgen insensitivity syndrome', 'Turner syndrome', 'adrenal gland hyperfunction', 'dysgerminoma', 'Leydig cell tumor', 'testicular disease', 'hypospadias', 'complete androgen insensitivity syndrome', 'Sertoli cell tumor', 'steroid inherited metabolic disorder', 'Melnick-Needles syndrome', 'Denys-Drash syndrome', 'germ cell cancer', 'hypertrichosis', 'luteoma', 'mixed gonadal dysgenesis', 'infant gynecomastia', 'eunuchism', 'amenorrhea', 'hyperandrogenism', 'Sertoli-Leydig cell tumor']",What compounds treat 'disorder of sexual development' and what diseases resemble 'disorder of sexual development'?,"{""Compounds"":[""Testosterone""], ""Diseases"":[""hypogonadism"", ""endocrine system disease"", ""androgen insensitivity syndrome"", ""freemartinism"", ""Denys-Drash syndrome"", ""adrenal cortex disease"", ""testicular disease"", ""adrenal gland hyperfunction"", ""hermaphroditism"", ""pseudohermaphroditism"", ""Turner syndrome"", ""seminoma"", ""adrenal gland disease"", ""46,XY sex reversal"", ""complete androgen insensitivity syndrome""]}",100
