,disease_1,Compounds,Diseases,text
62,fibrodysplasia ossificans progressiva,"['GARETOSMAB', 'Palovarotene']","['synostosis', 'myositis', 'tetanus', 'ankylosis', 'brain stem cancer', 'McCune Albright syndrome', 'skin disease', 'muscle benign neoplasm', 'periostitis', 'pseudopseudohypoparathyroidism', 'exostosis', 'muscle cancer']",What compounds treat 'fibrodysplasia ossificans progressiva' and what diseases resemble 'fibrodysplasia ossificans progressiva'?
63,fibrosarcoma,"['Ifosfamide', 'Doxorubicin']","['malignant fibrous histiocytoma', 'retroperitoneal cancer', 'myofibroma', 'fibroma', 'myoblastoma', 'mast-cell sarcoma', 'peripheral nervous system neoplasm', 'pharynx cancer', 'Pancoast tumor', 'penile benign neoplasm', 'cutaneous fibrous histiocytoma', 'orbital cancer', 'paranasal sinus benign neoplasm', 'malignant peripheral nerve sheath tumor', 'skull cancer', 'mandibular cancer', 'benign giant cell tumor', 'paranasal sinus cancer', 'neurofibroma', 'chondrosarcoma', 'fibrous histiocytoma', 'muscle cancer', 'pleural cancer', 'neurofibrosarcoma', 'peripheral nerve sheath neoplasm', 'chromophobe adenoma', 'maxillary cancer', 'penile cancer', 'benign fibrous mesothelioma', 'thoracic cancer', 'myxosarcoma', 'male reproductive organ cancer', 'myxoid liposarcoma', 'maxillary sinus benign neoplasm', 'congenital mesoblastic nephroma', 'perineurioma', 'muscle benign neoplasm', 'connective tissue cancer', 'femoral cancer', 'fasciitis']",What compounds treat 'fibrosarcoma' and what diseases resemble 'fibrosarcoma'?
64,focal epilepsy,"['Gabapentin', 'Oxcarbazepine', 'Lacosamide', 'Carbamazepine', 'Pregabalin', 'Lamotrigine', 'Levetiracetam', 'Cenobamate', 'Topiramate', 'Eslicarbazepine acetate']","['Landau-Kleffner syndrome', 'status epilepticus', 'benign familial neonatal epilepsy', 'Froelich syndrome', 'early myoclonic encephalopathy', 'complex partial epilepsy', 'benign neonatal seizures', 'West syndrome', 'absence epilepsy', 'tuberous sclerosis', 'hypothalamic disease', 'gliomatosis cerebri', 'frontal lobe epilepsy', 'astroblastoma', 'hypothalamic neoplasm', 'ganglioglioma', 'juvenile myoclonic epilepsy', 'childhood absence epilepsy', 'partial motor epilepsy', 'hemiplegia', 'Lennox-Gastaut syndrome', 'epilepsy with generalized tonic-clonic seizures', 'facial hemiatrophy', 'language disorder', 'reflex epilepsy', 'benign epilepsy with centrotemporal spikes', 'idiopathic generalized epilepsy']",What compounds treat 'focal epilepsy' and what diseases resemble 'focal epilepsy'?
65,galactosemia,"['2-(4-Oxo-3-((5-(trifluoromethyl)benzo[d]thiazol-2-yl)methyl)-3,4-dihydrothieno[3,4-d]pyridazin-1-yl)acetic acid']","['ovarian disease', 'primary ovarian insufficiency', 'phenylketonuria', 'Fanconi syndrome', 'glycogen storage disease', 'hypogonadism', 'alkaptonuria', 'hereditary fructose intolerance syndrome', 'inherited metabolic disorder', 'amino acid metabolic disorder', 'Wilson disease', 'maple syrup urine disease', 'neonatal jaundice', 'congenital hypothyroidism', 'carbohydrate metabolic disorder', 'biotinidase deficiency', 'glucosephosphate dehydrogenase deficiency', 'kernicterus']",What compounds treat 'galactosemia' and what diseases resemble 'galactosemia'?
66,gastrointestinal stromal tumor,"['Famitinib', 'Imatinib', 'Ripretinib', 'Nilotinib', 'Masitinib', 'Sunitinib', 'Retaspimycin', 'BEVACIZUMAB', '(3-Carboxy-2-(R)-hydroxy-propyl)-trimethyl-ammonium', 'Regorafenib', 'Avapritinib']","['retroperitoneal cancer', 'cecum cancer', 'leiomyosarcoma', 'chondroma', 'benign ileal neoplasm', 'neurofibromatosis 1', 'appendiceal neoplasm', 'appendix cancer', ""Meckel's diverticulum"", 'Carney complex', 'cecal benign neoplasm', 'duodenal benign neoplasm', 'epithelioid leiomyosarcoma', 'myxoid leiomyosarcoma', 'duodenum cancer', 'sigmoid colon cancer', 'mesenchymoma', 'intussusception', 'paraganglioma', 'jejunal cancer', 'jejunal neoplasm', 'somatostatinoma', 'sigmoid neoplasm']",What compounds treat 'gastrointestinal stromal tumor' and what diseases resemble 'gastrointestinal stromal tumor'?
67,gastrointestinal system disease,"['Dexmedetomidine', 'Oxyphencyclimine', 'Otilonium', 'Pipenzolate', 'Propantheline', 'Hyoscyamine', 'Methylhomatropine', 'Trimebutine', 'Glycopyrronium bromide', 'Clidinium', 'BELLADONNA', 'Methantheline', 'Isometheptene', 'Isopropamide', 'Metoclopramide', 'Alverine', 'Azithromycin', 'Dicyclomine', 'Butylscopolamine', 'Mosapride', 'Ciprofloxacin', 'Cimetropium', 'Propulsid', 'Oxyphenonium', 'Mepenzolate', 'Fibrin', 'Piperidolate', 'CHOLERA VACCINE', '[1-(Dimethylamino)-2-methylpropan-2-yl] 2-hydroxy-2,2-diphenylacetate', 'Cinitapride', 'Phloroglucinol', 'Tiropramide', 'Drotaverine', 'Hexocyclium', 'Itopride', 'Papaverine', 'Mebeverine', 'Clebopride', 'Domperidone', 'Alizapride', 'Methylatropine', 'Methscopolamine', 'Atropine', 'Foscarnet', 'ZINC ion', 'Tridihexethyl', 'Fenoverine', 'Bromopride', 'Alosetron', 'Poldine', 'Pinaverium', 'Esomeprazole', 'Diphemanil', 'Imipramine']","['splenic disease', 'gastrointestinal system cancer']",What compounds treat 'gastrointestinal system disease' and what diseases resemble 'gastrointestinal system disease'?
68,generalized dystonia,['INCOBOTULINUMTOXINA'],"['cerebellar ataxia', 'striatonigral degeneration', 'ocular motility disease', ""Brown's tendon sheath syndrome"", 'cerebellar disease', 'tic disorder', 'Machado-Joseph disease', 'Leigh disease', 'pantothenate kinase-associated neurodegeneration', 'complex regional pain syndrome', 'Silver-Russell syndrome', 'autosomal dominant cerebellar ataxia', 'optic atrophy', 'transient tic disorder', 'spinocerebellar ataxia type 4', 'internuclear ophthalmoplegia', 'polymicrogyria', 'chronic tic disorder', 'Meige syndrome', 'lingual-facial-buccal dyskinesia', 'basal ganglia disease']",What compounds treat 'generalized dystonia' and what diseases resemble 'generalized dystonia'?
69,glycogen storage disease,"['Miglustat', 'CIPAGLUCOSIDASE ALFA', 'ALGLUCOSIDASE ALFA']","['glycogen storage disease VI', 'myoglobinuria', 'lipid storage disease', 'lysosomal storage disease', 'endocardial fibroelastosis', 'glycogen storage disease V', 'pupil disease', 'Lafora disease', 'galactosemia', 'glycogen storage disease VIII', 'glycogen storage disease Ia', 'inherited metabolic disorder', 'glycogen storage disease III', 'iris disease', 'galactose epimerase deficiency', 'neuromuscular disease', 'Fanconi syndrome', 'mucopolysaccharidosis', 'glycogen storage disease VII', 'glucosephosphate dehydrogenase deficiency', 'lipid metabolism disorder', 'Tay-Sachs disease', 'carbohydrate metabolic disorder', 'glycogen storage disease IV', 'galactokinase deficiency', 'classic galactosemia', 'mitochondrial myopathy']",What compounds treat 'glycogen storage disease' and what diseases resemble 'glycogen storage disease'?
70,head and neck cancer,"['Afatinib', 'Celecoxib', 'Uracil', 'Oxonic Acid', 'Vinflunine', 'Erlotinib', 'PEMBROLIZUMAB', 'Tirapazamine', 'Methotrexate', 'CETUXIMAB', 'NIMOTUZUMAB', 'Pilocarpine', 'EPOETIN ALFA', ""ST. JOHN'S WORT"", 'Tegafur', 'IPILIMUMAB', 'Linrodostat', 'Gimeracil', 'Fluorouracil', 'azane;dichloroplatinum', 'ZALUTUMUMAB', 'Amifostine', 'Gabapentin', 'Isotretinoin', '1,1-Cyclobutanedicarboxylic acid', 'PALIFERMIN', 'ALDESLEUKIN', 'Lapatinib', 'Xevinapant', 'INTERFERON ALFA', 'Tranexamic acid', 'Paclitaxel', 'Bleomycin a2', 'NIVOLUMAB', 'Gefitinib', 'mitomycin C', 'Pemetrexed', 'Buparlisib', 'PANITUMUMAB', 'Alpha-Tocopherol', 'THYROTROPIN', 'FILGRASTIM', 'Porfiromycin', 'Vincristine', 'Epacadostat', 'Leucovorin', 'Docetaxel', 'Capsaicin']","['nasal cavity squamous cell carcinoma', 'squamous cell carcinoma', 'head and neck squamous cell carcinoma', 'Human papillomavirus infectious disease', 'hemangioma', 'histiocytoid hemangioma', 'laryngeal squamous cell carcinoma', 'intramuscular hemangioma', 'chorioangioma']",What compounds treat 'head and neck cancer' and what diseases resemble 'head and neck cancer'?
71,head and neck squamous cell carcinoma,"['azane;dichloroplatinum', 'Indomethacin', 'Cyclophosphamide', 'CETUXIMAB', 'Melatonin', 'ZINC ion']","['esophagus squamous cell carcinoma', 'paranasal sinus benign neoplasm', 'head and neck cancer', 'hypopharynx cancer', 'paranasal sinus cancer', 'inverted papilloma', 'pharynx cancer', 'tonsil cancer', 'oral submucous fibrosis', 'tongue cancer', 'lip cancer']",What compounds treat 'head and neck squamous cell carcinoma' and what diseases resemble 'head and neck squamous cell carcinoma'?
72,hemangioblastoma,['Belzutifan'],"['cerebellum cancer', 'benign ependymoma', 'syringomyelia', 'central nervous system cancer', 'cellular ependymoma', 'juvenile pilocytic astrocytoma', 'pilocytic astrocytoma', 'medullomyoblastoma', 'protoplasmic astrocytoma', 'peripheral nervous system neoplasm', 'childhood medulloblastoma', 'medulloblastoma', 'auditory system cancer', 'malignant astrocytoma', 'melanotic medulloblastoma', 'papillary ependymoma', 'adult medulloblastoma', 'gemistocytic astrocytoma', 'retinal cancer', 'optic nerve neoplasm', 'cranial nerve malignant neoplasm', 'ear cancer', 'infratentorial cancer', 'hypothalamic neoplasm', 'anaplastic astrocytoma', 'brain stem cancer', 'mutism', 'spinal cancer', 'subependymal giant cell astrocytoma', 'skull base cancer', 'childhood cerebral astrocytoma', 'pineal gland cancer', 'fibrillary astrocytoma', 'cerebral ventricle cancer', 'polycythemia', 'myxopapillary ependymoma', 'pineoblastoma', 'supratentorial cancer', 'capillary hemangioma', 'angiosarcoma']",What compounds treat 'hemangioblastoma' and what diseases resemble 'hemangioblastoma'?
73,hemochromatosis,"['Deferiprone', 'Hydroxyurea', 'Deferoxamine']","['congenital dyserythropoietic anemia type Ib', 'hypogonadism', 'iron metabolism disease', 'porphyria cutanea tarda', 'congenital dyserythropoietic anemia', 'hypochromic anemia', 'hemosiderosis', 'siderosis', 'hereditary spherocytosis', 'macrocytic anemia', 'Wilson disease', 'megaloblastic anemia', 'sideroblastic anemia', 'endocrine system disease', 'alcoholic liver cirrhosis', 'porphyria', 'congenital dyserythropoietic anemia type II', 'congenital dyserythropoietic anemia type III', 'alpha 1-antitrypsin deficiency', 'chondrocalcinosis', 'metal metabolism disorder', 'polycythemia', 'hemolytic anemia']",What compounds treat 'hemochromatosis' and what diseases resemble 'hemochromatosis'?
74,hemolytic anemia,"['Dexamethasone phosphate', 'Cortisone acetate', 'Dexamethasone', 'Prednisolone', 'Prednisone']","['leukopenia', 'atypical hemolytic-uremic syndrome', 'hereditary elliptocytosis', 'methemoglobinemia', 'sulfhemoglobinemia', 'spleen cancer', 'thrombotic thrombocytopenic purpura', 'pancytopenia', 'bilirubin metabolic disorder', 'iron metabolism disease', 'myelophthisic anemia', 'thalassemia', 'blood platelet disease', 'hypochromic anemia', 'hemosiderosis', 'obstructive jaundice', 'congenital hemolytic anemia', 'hereditary spherocytosis', 'syndrome', 'macrocytic anemia', 'Mycoplasma pneumoniae pneumonia', 'Wilson disease', 'megaloblastic anemia', 'hemolytic-uremic syndrome', 'neonatal jaundice', 'fatty liver disease', 'sideroblastic anemia', 'beta thalassemia', 'bartonellosis', 'pure red-cell aplasia', 'hemorrhagic disease', 'blackwater fever', 'alcoholic liver cirrhosis', 'porphyria', 'vitamin B12 deficiency', 'fetal erythroblastosis', 'bone marrow disease', 'Gilbert syndrome', 'disseminated intravascular coagulation', 'hemochromatosis', 'myelofibrosis', 'glucosephosphate dehydrogenase deficiency', 'cutaneous porphyria', 'neonatal anemia', 'hypersplenism', 'malignant hypertension', 'purpura', 'abetalipoproteinemia', 'hemoglobinopathy', 'infectious mononucleosis', 'congenital nonspherocytic hemolytic anemia', 'hemoglobin C disease', 'favism', 'agranulocytosis', 'polycythemia', 'pernicious anemia', 'Dubin-Johnson syndrome', 'hemoglobinuria', 'paroxysmal nocturnal hemoglobinuria', 'kernicterus']",What compounds treat 'hemolytic anemia' and what diseases resemble 'hemolytic anemia'?
